iter	Passed	Remaining
0	55	55287
1	104	52089
2	163	54331
3	232	57997
4	343	68286
5	414	68712
6	501	71107
7	559	69328
8	620	68321
9	673	66640
10	732	65827
11	779	64215
12	833	63290
13	959	67555
14	1167	76685
15	1275	78413
16	1334	77176
17	1386	75636
18	1433	74036
19	1470	72068
20	1506	70232
21	1541	68537
22	1579	67107
23	1621	65927
24	1685	65724
25	1741	65229
26	1802	64949
27	1869	64905
28	1926	64491
29	1990	64348
30	2037	63681
31	2102	63614
32	2171	63630
33	2222	63152
34	2256	62218
35	2299	61578
36	2353	61255
37	2438	61725
38	2497	61531
39	2557	61388
40	2614	61164
41	2661	60717
42	2711	60336
43	2755	59870
44	2814	59723
45	2861	59339
46	2911	59036
47	2954	58606
48	3005	58322
49	3059	58137
50	3133	58309
51	3178	57938
52	3215	57448
53	3250	56951
54	3296	56641
55	3347	56424
56	3384	55993
57	3433	55765
58	3491	55692
59	3559	55766
60	3609	55558
61	3649	55211
62	3698	55008
63	3736	54641
64	3775	54302
65	3831	54217
66	3882	54058
67	3930	53865
68	3982	53728
69	4043	53722
70	4104	53705
71	4146	53445
72	4187	53175
73	4249	53181
74	4294	52967
75	4340	52771
76	4397	52707
77	4447	52572
78	4491	52368
79	4540	52215
80	4579	51961
81	4628	51820
82	4692	51846
83	4742	51715
84	4792	51585
85	4838	51420
86	4895	51374
87	4941	51216
88	4995	51134
89	5078	51348
90	5136	51310
91	5195	51273
92	5245	51160
93	5286	50953
94	5347	50945
95	5424	51079
96	5485	51068
97	5569	51266
98	5623	51175
99	5670	51033
100	5720	50917
101	5765	50758
102	5821	50696
103	5899	50828
104	5950	50722
105	5999	50602
106	6043	50438
107	6091	50308
108	6133	50133
109	6172	49939
110	6214	49771
111	6250	49556
112	6291	49387
113	6327	49179
114	6371	49033
115	6439	49076
116	6500	49060
117	6558	49025
118	6618	49002
119	6666	48890
120	6702	48691
121	6739	48502
122	6778	48331
123	6813	48133
124	6859	48017
